time,game,money_spent,balance
01/11/2024 22:16:31,slotMachine,20,4360
01/11/2024 22:16:32,slotMachine,20,4340
01/11/2024 22:16:32,slotMachine,20,4320
01/11/2024 22:16:32,slotMachine,20,4900
01/11/2024 22:16:32,slotMachine,20,4880
01/11/2024 22:16:33,slotMachine,20,5460
01/11/2024 22:16:33,slotMachine,20,5440
01/11/2024 22:16:33,slotMachine,20,5420
01/11/2024 22:17:19,slotMachine,542,4878
01/11/2024 22:17:20,slotMachine,542,4336
01/11/2024 22:17:22,slotMachine,542,3794
01/11/2024 22:17:25,slotMachine,542,3252
01/11/2024 22:17:30,slotMachine,542,2710
01/11/2024 22:17:31,slotMachine,542,2168
01/11/2024 22:17:31,slotMachine,542,1626
01/11/2024 22:17:31,slotMachine,542,1084
01/11/2024 22:17:32,slotMachine,542,542
01/11/2024 22:17:32,slotMachine,542,0
01/11/2024 22:20:12,dice,1,-1
01/11/2024 22:21:15,slotMachine,100,9900
01/11/2024 22:21:16,slotMachine,100,9800
01/11/2024 22:21:16,slotMachine,100,11200
01/11/2024 22:22:31,dice,10000,1200
01/11/2024 23:40:39,slotMachine,100,1100
01/11/2024 23:40:40,slotMachine,100,1000
01/11/2024 23:40:41,slotMachine,100,3900
01/11/2024 23:40:43,slotMachine,100,3800
01/11/2024 23:40:43,slotMachine,100,3700
01/11/2024 23:40:43,slotMachine,100,3600
01/11/2024 23:40:44,slotMachine,100,3500
01/11/2024 23:40:44,slotMachine,100,9400
01/11/2024 23:40:51,slotMachine,100,10800
01/11/2024 23:40:52,slotMachine,100,10700
01/11/2024 23:40:53,slotMachine,100,10600
01/11/2024 23:40:54,slotMachine,100,10500
01/11/2024 23:40:54,slotMachine,100,10400
01/11/2024 23:40:54,slotMachine,100,11800
01/11/2024 23:40:55,slotMachine,100,11700
01/11/2024 23:40:55,slotMachine,100,14600
01/11/2024 23:40:55,slotMachine,100,14500
01/11/2024 23:40:56,slotMachine,100,14400
01/11/2024 23:41:00,slotMachine,100,14300
01/11/2024 23:41:01,slotMachine,100,15700
01/11/2024 23:41:01,slotMachine,100,17100
01/11/2024 23:41:01,slotMachine,100,17000
01/11/2024 23:41:02,slotMachine,100,16900
01/11/2024 23:41:03,slotMachine,100,22800
01/11/2024 23:41:22,slotMachine,100,22700
01/11/2024 23:41:23,slotMachine,100,22600
01/11/2024 23:41:23,slotMachine,100,22500
01/11/2024 23:41:24,slotMachine,100,22400
01/11/2024 23:41:24,slotMachine,100,23800
01/11/2024 23:41:24,slotMachine,100,23700
01/11/2024 23:41:24,slotMachine,100,25100
01/11/2024 23:41:25,slotMachine,100,25000
01/11/2024 23:41:25,slotMachine,100,24900
01/11/2024 23:41:25,slotMachine,100,24800
01/11/2024 23:41:26,slotMachine,100,24700
01/11/2024 23:41:26,slotMachine,100,24600
